2-month-old infant with feeding intolerance XGC472CEZH9O	"<img src=""Gastric_Motility18.jpg""><br><img src=""Gastric_Motility19.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility18_annot.jpg""><div class=""stackCap"">Anterior Tc-99m sulfur colloid liquid gastric emptying scan in a 2 month old who was not tolerating feeding shows region of interest around the stomach <img src=""arrow_CS.png"">. A bolus of the infant's formula was utilized for the scan.</div></div><div class=""stackItem""><img src=""Gastric_Motility19_annot.jpg""><div class=""stackCap"">Graph from the gastric emptying scan in the same patient shows that the stomach is emptied by 90 minutes <img src=""arrow_CO.png"">. This is useful for size and timing of feeds, which can be tailored based on results of the scan.</div></div>"	Most likely diagnosis?	Normal liquid gastric emptying<br><br>KEYWORD FINDINGS:<br>region of interest around the stomach<br>infant's formula<br>stomach is emptied by 90 minutes<br><br>The stomach empties by 90 minutes on the formula-based liquid study, supporting normal/progressive liquid emptying for this patient.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
14-year-old patient with abdominal pain LYH861R5VT2J	"<img src=""Gastric_Motility1.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility1_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show a normal dual-phase gastric emptying scan in a 14 year old with abdominal pain. Liquid gastric emptying <img src=""arrow_CS.png""> is 42% at 1 hour and 82% at 2 hours. Solid gastric emptying <img src=""arrow_BS.png""> is 66% at 2 hours and 99% at 4 hours.</div></div>"	Most likely diagnosis?	Normal dual-phase gastric emptying<br><br>KEYWORD FINDINGS:<br>normal dual-phase gastric emptying scan<br>42% at 1 hour<br>82% at 2 hours<br>66% at 2 hours<br>99% at 4 hours<br><br>Both liquid and solid phases show progressive emptying, with near-complete solid emptying by 4 hours.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Pediatric patient with upper gastrointestinal symptoms EJ6SPNW1S5RW	"<img src=""Gastric_Motility2.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility2_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show a normal dual-phase gastric emptying scan (liquid <img src=""arrow_CS.png"">: 62% at 1 hour, 83% at 2 hours; solid <img src=""arrow_BS.png"">: 73% at 2 hours, 94% at 3 hours). Because solid emptying was > 90% at 3 hours, imaging was not performed at 4 hours.</div></div>"	Most likely diagnosis?	Normal dual-phase gastric emptying<br><br>KEYWORD FINDINGS:<br>normal dual-phase gastric emptying scan<br>62% at 1 hour<br>83% at 2 hours<br>73% at 2 hours<br>94% at 3 hours<br><br>Both phases empty progressively; solid emptying exceeds 90% by 3 hours, so further imaging was unnecessary in this case.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Pediatric patient with nausea and abdominal discomfort 1VZ6JN2TYUAW	"<img src=""Gastric_Motility3.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility3_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show a normal dual-phase gastric emptying scan (liquid <img src=""arrow_CS.png"">: 57% at 1 hour, 92% at 2 hours; solid <img src=""arrow_BS.png"">: 37% at 1 hour, 91% at 2 hours). Because solid emptying was > 90% at 2 hours, imaging was not performed through 4 hours.</div></div>"	Most likely diagnosis?	Normal dual-phase gastric emptying<br><br>KEYWORD FINDINGS:<br>normal dual-phase gastric emptying scan<br>57% at 1 hour<br>92% at 2 hours<br>37% at 1 hour<br>91% at 2 hours<br><br>Both phases empty normally, and solid emptying already exceeds 90% at 2 hours.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with nausea, vomiting, and early satiety JKL1YCFGVOA3	"<img src=""Gastric_Motility4.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility4_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show an abnormal dual-phase gastric emptying scan. Emptying of both phases is abnormal: Liquid emptying <img src=""arrow_CS.png""> is 35% at 1 hour and 2 hours and solid emptying <img src=""arrow_BS.png""> is 11% at 2 hours and 4 hours.</div></div>"	Most likely diagnosis?	Delayed liquid and solid gastric emptying<br><br>KEYWORD FINDINGS:<br>abnormal dual-phase gastric emptying scan<br>both phases is abnormal<br>35% at 1 hour and 2 hours<br>11% at 2 hours and 4 hours<br><br>Minimal interval emptying of either phase indicates marked retention of both liquid and solid contents.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with chronic postprandial symptoms 887FJJ8RMG7Q	"<img src=""Gastric_Motility5.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility5_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show a dual-phase gastric emptying scan in which emptying of the liquid phase <img src=""arrow_CS.png""> is abnormal (59% at 1 hours, 67% at 2 hours) but emptying of the solid phase <img src=""arrow_BS.png""> is normal (49% at 2 hours, 96% at 4 hours).</div></div>"	Most likely diagnosis?	Isolated delayed liquid gastric emptying<br><br>KEYWORD FINDINGS:<br>liquid phase is abnormal<br>59% at 1 hours<br>67% at 2 hours<br>solid phase is normal<br>96% at 4 hours<br><br>The abnormal liquid phase with a normal solid phase demonstrates that liquid and solid emptying can be discordant.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with postprandial abdominal discomfort and diarrhea 3QGFAPZ81CNM	"<img src=""Gastric_Motility6.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility6_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show an abnormal dual-phase gastric emptying scan. Emptying of both phases is abnormally rapid, reflective of dumping: Liquid (76% at 1 hour, 94% at 2 hours), solid (77% at 1 hour, 98% at 2 hours). Note no activity in stomach at 2 hours <img src=""arrow_BS.png"">.</div></div>"	Most likely diagnosis?	Dumping syndrome<br><br>KEYWORD FINDINGS:<br>both phases is abnormally rapid<br>76% at 1 hour<br>94% at 2 hours<br>77% at 1 hour<br>98% at 2 hours<br>no activity in stomach at 2 hours<br><br>Rapid emptying of both liquid and solid phases with no residual gastric activity at 2 hours supports dumping.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with vomiting and early satiety V1VF3BJAQ585	"<img src=""Gastric_Motility7.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility7_annot.jpg""><div class=""stackCap"">Anterior dual-phase gastric emptying scan shows retention of radiotracer in the stomach <img src=""arrow_BS.png"">, reflective of delayed emptying (59% liquid, 27% solid emptying at 2 hours). Radiotracer is also seen in the esophagus due to gastroesophageal reflux <img src=""arrow_CS.png"">.</div></div>"	Most likely diagnosis?	Delayed gastric emptying with gastroesophageal reflux<br><br>KEYWORD FINDINGS:<br>retention of radiotracer in the stomach<br>delayed emptying<br>59% liquid<br>27% solid emptying at 2 hours<br>radiotracer is also seen in the esophagus<br><br>Persistent gastric activity indicates delayed emptying, while simultaneous esophageal activity documents reflux.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with nonspecific upper abdominal symptoms CYMTQICSH6VX	"<img src=""Gastric_Motility8.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility8_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show a normal solid-phase gastric emptying scan (41% at 2 hours and 99% at 4 hours).</div></div>"	Most likely diagnosis?	Normal solid gastric emptying<br><br>KEYWORD FINDINGS:<br>normal solid-phase gastric emptying scan<br>41% at 2 hours<br>99% at 4 hours<br><br>Progressive emptying with 99% emptied by 4 hours is normal.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with abdominal pain and regurgitation 8P22HJ8Q6M5E	"<img src=""Gastric_Motility9.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility9_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show a normal solid-phase gastric emptying scan performed with Ensure Plus. There is 56% emptying at 2 hours and 94% at 4 hours. Gastroesophageal reflux <img src=""arrow_CS.png""> is present at 2 hours.</div></div>"	Most likely diagnosis?	Normal solid gastric emptying with gastroesophageal reflux<br><br>KEYWORD FINDINGS:<br>normal solid-phase gastric emptying scan<br>Ensure Plus<br>56% emptying at 2 hours<br>94% at 4 hours<br>Gastroesophageal reflux<br>present at 2 hours<br><br>Solid emptying reaches a normal 4-hour value despite a documented reflux episode.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with nausea and prolonged fullness N1GUNPYB0DG7	"<img src=""Gastric_Motility10.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility10_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show an abnormal solid-phase gastric emptying scan (41% at 2 hours and 84% at 4 hours).</div></div>"	Most likely diagnosis?	Delayed solid gastric emptying<br><br>KEYWORD FINDINGS:<br>abnormal solid-phase gastric emptying scan<br>41% at 2 hours<br>84% at 4 hours<br><br>Only 84% empties by 4 hours, leaving 16% retention and supporting delayed solid emptying.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with vomiting and weight loss M1O9HMB8003Y	"<img src=""Gastric_Motility11.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility11_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show an abnormal solid-phase gastric emptying scan performed with Ensure Plus (46% at 2 hours and 57% at 4 hours).</div></div>"	Most likely diagnosis?	Markedly delayed solid gastric emptying<br><br>KEYWORD FINDINGS:<br>abnormal solid-phase gastric emptying scan<br>Ensure Plus<br>46% at 2 hours<br>57% at 4 hours<br><br>Substantial retained activity remains at 4 hours, indicating marked delayed emptying.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Patient with postprandial nausea JYMY0V36WB62	"<img src=""Gastric_Motility12.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility12_annot.jpg""><div class=""stackCap"">Anterior-posterior planar images show a solid-phase gastric emptying scan in which emptying is abnormal at 2 hours (69%) and normal at 4 hours (96%).</div></div>"	Most likely diagnosis?	Normal 4-hour solid gastric emptying despite abnormal 2-hour value<br><br>KEYWORD FINDINGS:<br>abnormal at 2 hours<br>69%<br>normal at 4 hours<br>96%<br><br>The 2-hour value is abnormal, but the 4-hour result normalizes; the source notes that institutional interpretation of this pattern varies.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Infant with feeding difficulty BBKT6LLQWOHZ	"<img src=""Gastric_Motility13.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility13_annot.jpg""><div class=""stackCap"">Posterior images from liquid gastric emptying scan performed with patient's own formula show progressive emptying of the stomach <img src=""arrow_BS.png""> over 2 hours (53% emptying at 2 hours <img src=""arrow_CS.png"">). Normal values exist for only certain liquids.</div></div>"	Most likely diagnosis?	Liquid gastric emptying with nonstandard-formula interpretive limitation<br><br>KEYWORD FINDINGS:<br>patient's own formula<br>progressive emptying of the stomach<br>over 2 hours<br>53% emptying at 2 hours<br>Normal values exist for only certain liquids<br><br>The study demonstrates measurable progressive emptying, but a definitive normal/abnormal label is limited because validated norms do not exist for every formula.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
Infant with reflux-like symptoms RIOM1YU1ZPSE	"<img src=""Gastric_Motility14.jpg"">"	"<div class=""stackItem""><img src=""Gastric_Motility14_annot.jpg""><div class=""stackCap"">Posterior projection images from a normal milk study show progressive emptying of the stomach <img src=""arrow_BS.png""> over 2 hours (57% emptying at 2 hours <img src=""arrow_CS.png"">).</div></div>"	Most likely diagnosis?	Normal milk-study gastric emptying<br><br>KEYWORD FINDINGS:<br>normal milk study<br>progressive emptying of the stomach<br>over 2 hours<br>57% emptying at 2 hours<br><br>Progressive 2-hour emptying on the milk study is interpreted as normal in this case.<br><br>Differential:<br>Gastroparesis<br>Dumping syndrome<br>Gastroesophageal reflux																<div><b>Gastric Motility</b></div><br><b>Source Basis:</b> RadPrimer article text and selected image captions captured in this audit bundle. Core evidence was NOT_PROVIDED, so Core-only claims were removed or relabeled as RadPrimer/source-package supported.<br><br><b>High-yield frame:</b><ul><li>Gastroparesis is delayed gastric emptying without mechanical obstruction; dumping is abnormally rapid gastric emptying.</li><li>Solid gastric emptying scintigraphy is the diagnostic test of choice for suspected gastroparesis.</li><li>Milk studies in infants can assess reflux frequency/severity and gastric emptying, but normal values are sparse and formula-dependent.</li><li>Liquid, solid, and milk/formula emptying can be discordant; interpret each phase and protocol with its own limitations.</li><li>ROI placement, timing, decay correction, and geometric-mean processing are major accuracy checks.</li></ul>	
